시도,시군구,성별,연령구분, 2019년 ,,, 2020년 ,,, 2021년 ,,, 2022년 ,,, 2023년 ,,,,,
,,,,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,,,
서울,강서구,남,70~79세," 611,900,420 "," 21,625 "," 3,186 "," 770,954,830 "," 22,805 "," 3,535 "," 782,253,220 "," 23,793 "," 3,608 "," 919,125,640 "," 26,212 "," 4,016 "," 1,117,243,220 "," 29,573 "," 4,432 ",,,
서울,강서구,남,80~89세," 203,470,530 "," 6,071 ", 866 ," 237,994,430 "," 6,486 ", 975 ," 300,316,630 "," 7,738 "," 1,053 "," 370,756,950 "," 9,351 "," 1,239 "," 447,773,550 "," 10,443 "," 1,379 ",,,
서울,강서구,남,90~99세," 8,146,090 ", 278 , 42 ," 26,428,880 ", 446 , 51 ," 12,939,010 ", 320 , 68 ," 20,234,790 ", 545 , 83 ," 22,995,310 ", 645 , 92 ,,,
서울,강서구,남,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강서구,여,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강서구,여,10~19세," 9,731,160 ", 239 , 44 ," 8,835,620 ", 175 , 36 ," 15,189,950 ", 206 , 42 ," 19,429,950 ", 258 , 57 ," 32,887,670 ", 271 , 54 ,,,
서울,강서구,여,20~29세," 19,604,310 ", 522 , 136 ," 27,537,750 ", 670 , 160 ," 51,482,650 ", 991 , 251 ," 55,219,210 "," 1,213 ", 304 ," 84,034,940 "," 1,251 ", 293 ,,,
서울,강서구,여,30~39세," 76,540,160 "," 2,145 ", 447 ," 97,842,320 "," 2,311 ", 484 ," 122,123,430 "," 2,685 ", 556 ," 160,122,190 "," 3,118 ", 658 ," 142,722,810 "," 3,205 ", 686 ,,,
서울,강서구,여,40~49세," 188,302,380 "," 6,055 "," 1,153 "," 233,532,010 "," 6,500 "," 1,193 "," 257,628,290 "," 7,220 "," 1,300 "," 314,020,770 "," 7,533 "," 1,409 "," 325,799,600 "," 7,666 "," 1,436 ",,,
서울,강서구,여,50~59세," 545,448,630 "," 18,712 "," 3,273 "," 584,014,780 "," 18,356 "," 3,262 "," 655,452,910 "," 18,609 "," 3,288 "," 735,782,580 "," 19,317 "," 3,340 "," 776,729,650 "," 19,704 "," 3,461 ",,,
